insertId,labels.authorization.k8s.io/decision,labels.authorization.k8s.io/reason,logName,operation.first,operation.id,operation.last,operation.producer,protoPayload.@type,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo[0].permission,protoPayload.authorizationInfo[0].resource,protoPayload.methodName,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.resourceName,protoPayload.serviceName,protoPayload.status.code,protoPayload.status.message,receiveTimestamp,resource.labels.cluster_name,resource.labels.location,resource.labels.project_id,resource.type,timestamp
consolidated_event_1_761316,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_1_570339,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.patch,apis/networking.k8s.io/v1/networkpolicies,io.k8s.patch,217.71.49.51,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,2024-11-03T16:38:58.0000Z,prod-cluster,europe-west1,project123,k8s_cluster,2024-11-03T16:38:07.0000Z
consolidated_event_2_966858,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_2_249603,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.put,apis/v1/pods,io.k8s.put,158.115.105.14,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/v1/pods,k8s.io,0,OK,2024-06-15T05:53:18.0000Z,test-cluster,asia-southeast1,project123,k8s_cluster,2024-06-15T05:48:59.0000Z
consolidated_event_3_231146,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_3_901715,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,io.k8s.put,apis/v1/services,io.k8s.put,32.101.129.180,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/v1/services,k8s.io,0,OK,2024-02-06T14:14:30.0000Z,nf-default,europe-west1,project123,k8s_cluster,2024-02-06T14:14:11.0000Z
consolidated_event_4_401404,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_4_958002,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.patch,apis/batch/v1/jobs,io.k8s.patch,189.126.25.67,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/batch/v1/jobs,k8s.io,13,Internal error,2024-01-16T13:31:57.0000Z,dev-cluster,us-central1,project123,k8s_cluster,2024-01-16T13:29:46.0000Z
consolidated_event_5_733699,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_5_891122,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.patch,apis/v1/pods,io.k8s.patch,97.56.155.60,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/v1/pods,k8s.io,7,"forbidden: User ""system:anonymous"" cannot patch path ""apis/v1/pods""",2024-09-13T19:11:17.0000Z,nf-default,us-central1,project123,k8s_cluster,2024-09-13T19:06:28.0000Z
consolidated_event_6_637936,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_6_273358,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.get,global-protect/login.esp,io.k8s.get,216.70.249.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",global-protect/login.esp,k8s.io,7,"forbidden: User ""system:anonymous"" cannot get path ""global-protect/login.esp""",2024-06-01T19:40:20.0000Z,prod-cluster,us-central1,project123,k8s_cluster,2024-06-01T19:37:14.0000Z
consolidated_event_7_288513,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_7_259672,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.post,apis/networking.k8s.io/v1/networkpolicies,io.k8s.post,21.121.89.226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/networking.k8s.io/v1/networkpolicies,k8s.io,3,Invalid argument,2024-11-17T23:32:07.0000Z,test-cluster,asia-southeast1,project123,k8s_cluster,2024-11-17T23:29:31.0000Z
consolidated_event_8_835167,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_8_400770,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,io.k8s.get,global-protect/login.esp,io.k8s.get,135.185.13.15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",global-protect/login.esp,k8s.io,7,"forbidden: User ""service-account@company.iam.gserviceaccount.com"" cannot get path ""global-protect/login.esp""",2024-01-11T21:19:44.0000Z,dev-cluster,us-central1,project123,k8s_cluster,2024-01-11T21:15:30.0000Z
consolidated_event_9_947063,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_9_448646,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.delete,apis/v1/services,io.k8s.delete,67.104.158.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/v1/services,k8s.io,7,"forbidden: User ""admin@company.com"" cannot delete path ""apis/v1/services""",2024-02-13T19:42:29.0000Z,test-cluster,us-west1,project123,k8s_cluster,2024-02-13T19:41:15.0000Z
consolidated_event_10_222810,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_10_763349,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.put,apis/batch/v1/jobs,io.k8s.put,96.254.47.34,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/batch/v1/jobs,k8s.io,16,Permission denied,2024-05-30T09:43:21.0000Z,dev-cluster,us-west1,project123,k8s_cluster,2024-05-30T09:42:19.0000Z
