insertId,labels.authorization.k8s.io/decision,labels.authorization.k8s.io/reason,logName,operation.first,operation.id,operation.last,operation.producer,protoPayload.@type,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo[0].permission,protoPayload.authorizationInfo[0].resource,protoPayload.methodName,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.resourceName,protoPayload.serviceName,protoPayload.status.code,protoPayload.status.message,receiveTimestamp,resource.labels.cluster_name,resource.labels.location,resource.labels.project_id,resource.type,timestamp,method_action,service_short,resource_type_short,callerIp_is_private,callerIp_first_octet,receiveTimestamp__year,receiveTimestamp__month,receiveTimestamp__day,receiveTimestamp__hour,receiveTimestamp__dow,receiveTimestamp__is_weekend,timestamp__year,timestamp__month,timestamp__day,timestamp__hour,timestamp__dow,timestamp__is_weekend
consolidated_event_1_761316,forbid,rbac: access denied,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_1_570339,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,admin@company.com,io.k8s.patch,apis/networking.k8s.io/v1/networkpolicies,io.k8s.patch,217.71.49.51,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,ok,2024-11-03 16:38:58+00:00,prod-cluster,europe-west1,project123,k8s_cluster,2024-11-03 16:38:07+00:00,patch,k8s,k8s_cluster,0,217,2024,11,3,16,6,1,2024,11,3,16,6,1
consolidated_event_2_966858,forbid,rbac: access denied,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_2_249603,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,dev@company.com,io.k8s.put,apis/v1/pods,io.k8s.put,158.115.105.14,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/v1/pods,k8s.io,0,ok,2024-06-15 05:53:18+00:00,test-cluster,asia-southeast1,project123,k8s_cluster,2024-06-15 05:48:59+00:00,put,k8s,k8s_cluster,0,158,2024,6,15,5,5,1,2024,6,15,5,5,1
consolidated_event_3_231146,allow,unknown,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_3_901715,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,user@company.com,io.k8s.put,apis/v1/services,io.k8s.put,32.101.129.180,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/v1/services,k8s.io,0,ok,2024-02-06 14:14:30+00:00,nf-default,europe-west1,project123,k8s_cluster,2024-02-06 14:14:11+00:00,put,k8s,k8s_cluster,0,32,2024,2,6,14,1,0,2024,2,6,14,1,0
consolidated_event_4_401404,forbid,rbac: access denied,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_4_958002,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,system:anonymous,io.k8s.patch,apis/batch/v1/jobs,io.k8s.patch,189.126.25.67,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/batch/v1/jobs,k8s.io,13,internal error,2024-01-16 13:31:57+00:00,dev-cluster,us-central1,project123,k8s_cluster,2024-01-16 13:29:46+00:00,patch,k8s,k8s_cluster,0,189,2024,1,16,13,1,0,2024,1,16,13,1,0
consolidated_event_5_733699,allow,unknown,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_5_891122,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,system:anonymous,io.k8s.patch,apis/v1/pods,io.k8s.patch,97.56.155.60,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/v1/pods,k8s.io,7,"forbidden: user ""system:anonymous"" cannot patch path ""apis/v1/pods""",2024-09-13 19:11:17+00:00,nf-default,us-central1,project123,k8s_cluster,2024-09-13 19:06:28+00:00,patch,k8s,k8s_cluster,0,97,2024,9,13,19,4,0,2024,9,13,19,4,0
consolidated_event_6_637936,allow,unknown,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_6_273358,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,system:anonymous,io.k8s.get,global-protect/login.esp,io.k8s.get,216.70.249.5,"mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/115.0.0.0 safari/537.36",global-protect/login.esp,k8s.io,7,"forbidden: user ""system:anonymous"" cannot get path ""global-protect/login.esp""",2024-06-01 19:40:20+00:00,prod-cluster,us-central1,project123,k8s_cluster,2024-06-01 19:37:14+00:00,get,k8s,k8s_cluster,0,216,2024,6,1,19,5,1,2024,6,1,19,5,1
consolidated_event_7_288513,forbid,rbac: access denied,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_7_259672,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,admin@company.com,io.k8s.post,apis/networking.k8s.io/v1/networkpolicies,io.k8s.post,21.121.89.226,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/115.0.0.0 safari/537.36 edg/115.0.1901.203",apis/networking.k8s.io/v1/networkpolicies,k8s.io,3,invalid argument,2024-11-17 23:32:07+00:00,test-cluster,asia-southeast1,project123,k8s_cluster,2024-11-17 23:29:31+00:00,post,k8s,k8s_cluster,0,21,2024,11,17,23,6,1,2024,11,17,23,6,1
consolidated_event_8_835167,allow,unknown,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_8_400770,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,service-account@company.iam.gserviceaccount.com,io.k8s.get,global-protect/login.esp,io.k8s.get,135.185.13.15,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/115.0.0.0 safari/537.36",global-protect/login.esp,k8s.io,7,"forbidden: user ""service-account@company.iam.gserviceaccount.com"" cannot get path ""global-protect/login.esp""",2024-01-11 21:19:44+00:00,dev-cluster,us-central1,project123,k8s_cluster,2024-01-11 21:15:30+00:00,get,k8s,k8s_cluster,0,135,2024,1,11,21,3,0,2024,1,11,21,3,0
consolidated_event_9_947063,forbid,rbac: access denied,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_9_448646,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,admin@company.com,io.k8s.delete,apis/v1/services,io.k8s.delete,67.104.158.91,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/115.0.0.0 safari/537.36 edg/115.0.1901.203",apis/v1/services,k8s.io,7,"forbidden: user ""admin@company.com"" cannot delete path ""apis/v1/services""",2024-02-13 19:42:29+00:00,test-cluster,us-west1,project123,k8s_cluster,2024-02-13 19:41:15+00:00,delete,k8s,k8s_cluster,0,67,2024,2,13,19,1,0,2024,2,13,19,1,0
consolidated_event_10_222810,allow,unknown,projects/project123/logs/cloudaudit.googleapis.com%2factivity,True,operation_10_763349,True,k8s.io,type.googleapis.com/google.cloud.audit.auditlog,admin@company.com,io.k8s.put,apis/batch/v1/jobs,io.k8s.put,96.254.47.34,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/batch/v1/jobs,k8s.io,16,permission denied,2024-05-30 09:43:21+00:00,dev-cluster,us-west1,project123,k8s_cluster,2024-05-30 09:42:19+00:00,put,k8s,k8s_cluster,0,96,2024,5,30,9,3,0,2024,5,30,9,3,0
